,Unnamed: 0,X_Value,Loadcell5k,PRESSURE_ENGINE,PRESSURE_FUEL,PRESSURE_FUEL_DOME,PRESSURE_LOX,PRESSURE_LOX_DOME,THERMO_FUEL,THERMO_LOX,Loadcell5k 1
160,160,1.6,62.152640000000005,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,29.895145,34.151782,inf
161,161,1.61,-37.57881,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,28.724709999999998,34.151782,
162,162,1.62,22.26006,-1.9220400000000002,-0.090931,8.333571000000001,-1.7182,0.6881,29.192884000000003,36.737134000000005,inf
163,163,1.63,42.20635,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,28.958796999999997,36.413965000000005,inf
164,164,1.64,171.85723,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,30.129231,36.413965000000005,inf
165,165,1.65,131.96465,-1.9220400000000002,-0.090931,8.333571000000001,-1.7182,0.6881,29.661058,37.383472,inf
166,166,1.66,-87.44453,-4.41496,-1.297962,8.333571000000001,-1.7182,0.6881,28.256535999999997,34.798120000000004,
167,167,1.67,22.26006,-1.9220400000000002,-0.090931,8.333571000000001,-1.7182,0.6881,29.895145,32.859106,inf
168,168,1.68,12.286909999999999,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,29.895145,38.02981,inf
169,169,1.69,42.20635,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,28.958796999999997,36.090796000000005,inf
170,170,1.7,181.83037,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,29.661058,33.828613,inf
171,171,1.71,42.20635,-1.9220400000000002,-1.297962,10.773635,-1.7182,0.6881,28.724709999999998,33.182275,inf
172,172,1.72,-7.65937,-4.41496,-1.297962,8.333571000000001,-1.7182,0.6881,27.320188,35.121289000000004,
173,173,1.73,2.31377,-1.9220400000000002,-0.090931,8.333571000000001,-1.7182,0.6881,28.958796999999997,34.151782,inf
174,174,1.74,62.152640000000005,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,28.958796999999997,33.828613,inf
175,175,1.75,211.7498,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,26.852015,34.798120000000004,inf
176,176,1.76,-67.49824000000001,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,29.661058,34.151782,
177,177,1.77,22.26006,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,28.724709999999998,34.151782,inf
178,178,1.78,-17.63252,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,28.724709999999998,34.474951000000004,
179,179,1.79,82.09893,-1.9220400000000002,-1.297962,8.333571000000001,-1.7182,0.6881,28.022448999999998,35.121289000000004,inf
